action,id,display_name,canonical_name,muscle,equipment,archetype,cameron_sets,cameron_workouts,last_used,proposed_canonical,notes
hide,seed-3_4_Sit-Up,,3/4 sit-up,abdominals,body only,sit_up,0,0,,,unused by Cameron and not a staple
hide,seed-90_90_Hamstring,,90/90 hamstring,hamstrings,body only,squat,0,0,,,stretch/SMR row
hide,seed-Ab_Crunch_Machine,,ab crunch machine,abdominals,machine,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Ab_Roller,,ab roller,abdominals,other,ab_rollout,0,0,,,unused by Cameron and not a staple
hide,seed-Adductor,,adductor,adductors,foam roll,hip_adduction,0,0,,,stretch/SMR row
hide,seed-Adductor_Groin,,adductor/groin,adductors,,hip_adduction,0,0,,,stretch/SMR row
hide,seed-Advanced_Kettlebell_Windmill,,advanced kettlebell windmill,abdominals,kettlebells,russian_twist,0,0,,,unused by Cameron and not a staple
hide,seed-Air_Bike,,air bike,abdominals,body only,cycling,0,0,,,unused by Cameron and not a staple
hide,seed-All_Fours_Quad_Stretch,,all fours quad stretch,quadriceps,body only,squat,0,0,,,stretch/SMR row
hide,seed-Alternate_Hammer_Curl,,alternate hammer curl,biceps,dumbbell,hammer_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Alternate_Heel_Touchers,,alternate heel touchers,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Alternate_Incline_Dumbbell_Curl,,alternate incline dumbbell curl,biceps,dumbbell,incline_biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Alternate_Leg_Diagonal_Bound,,alternate leg diagonal bound,quadriceps,,box_jump,0,0,,,niche/unused category
hide,seed-Alternating_Cable_Shoulder_Press,,alternating cable shoulder press,shoulders,cable,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Alternating_Deltoid_Raise,,alternating deltoid raise,shoulders,dumbbell,lateral_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Alternating_Floor_Press,,alternating floor press,chest,kettlebells,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Alternating_Hang_Clean,,alternating hang clean,hamstrings,kettlebells,power_clean,0,0,,,unused by Cameron and not a staple
hide,seed-Alternating_Kettlebell_Press,,alternating kettlebell press,shoulders,kettlebells,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Alternating_Kettlebell_Row,,alternating kettlebell row,middle back,kettlebells,single_arm_row,0,0,,,unused by Cameron and not a staple
hide,seed-Alternating_Renegade_Row,,alternating renegade row,middle back,kettlebells,single_arm_row,0,0,,,unused by Cameron and not a staple
hide,seed-Ankle_Circles,,ankle circles,calves,,running,0,0,,,stretch/SMR row
hide,seed-Ankle_On_The_Knee,,ankle on the knee,glutes,,squat,0,0,,,stretch/SMR row
hide,seed-Anterior_Tibialis-SMR,,anterior tibialis-smr,calves,other,standing_calf_raise,0,0,,,stretch/SMR row
hide,seed-Anti-Gravity_Press,,anti-gravity press,shoulders,barbell,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Arm_Circles,,arm circles,shoulders,,biceps_curl,0,0,,,stretch/SMR row
hide,seed-Arnold_Dumbbell_Press,,arnold dumbbell press,shoulders,dumbbell,arnold_press,0,0,,,unused by Cameron and not a staple
hide,seed-Around_The_Worlds,,around the worlds,chest,dumbbell,chest_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Atlas_Stone_Trainer,,atlas stone trainer,lower back,other,power_clean,0,0,,,niche/unused category
hide,seed-Atlas_Stones,,atlas stones,lower back,other,power_clean,0,0,,,niche/unused category
hide,seed-Axle_Deadlift,,axle deadlift,lower back,other,deadlift,0,0,,,niche/unused category
hide,seed-Back_Flyes_-_With_Bands,,back flyes - with bands,shoulders,bands,rear_delt_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Backward_Drag,,backward drag,quadriceps,other,sled_push_pull,0,0,,,niche/unused category
hide,seed-Backward_Medicine_Ball_Throw,,backward medicine ball throw,shoulders,medicine ball,running,0,0,,,niche/unused category
hide,seed-Balance_Board,,balance board,calves,other,running,0,0,,,unused by Cameron and not a staple
hide,seed-Ball_Leg_Curl,,ball leg curl,hamstrings,exercise ball,lying_leg_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Band_Assisted_Pull-Up,,band assisted pull-up,lats,other,pull_up,0,0,,,unused by Cameron and not a staple
hide,seed-Band_Good_Morning,,band good morning,hamstrings,bands,good_morning,0,0,,,unused by Cameron and not a staple
hide,seed-Band_Good_Morning_Pull_Through,,band good morning (pull through),hamstrings,bands,good_morning,0,0,,,unused by Cameron and not a staple
hide,seed-Band_Hip_Adductions,,band hip adductions,adductors,bands,hip_adduction,0,0,,,unused by Cameron and not a staple
hide,seed-Band_Pull_Apart,,band pull apart,shoulders,bands,rear_delt_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Band_Skull_Crusher,,band skull crusher,triceps,bands,skullcrusher,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Ab_Rollout,,barbell ab rollout,abdominals,barbell,ab_rollout,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Ab_Rollout_-_On_Knees,,barbell ab rollout - on knees,abdominals,barbell,ab_rollout,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Bench_Press_-_Medium_Grip,,barbell bench press - medium grip,chest,barbell,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Curl,,barbell curl,biceps,barbell,biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Curls_Lying_Against_An_Incline,,barbell curls lying against an incline,biceps,barbell,incline_biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Full_Squat,,barbell full squat,quadriceps,barbell,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Glute_Bridge,,barbell glute bridge,glutes,barbell,hip_thrust,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Guillotine_Bench_Press,,barbell guillotine bench press,chest,barbell,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Hack_Squat,,barbell hack squat,quadriceps,barbell,hack_squat,0,0,,,unused by Cameron and not a staple
hide,seed-Barbell_Hip_Thrust,,barbell hip thrust,glutes,barbell,hip_thrust,0,0,,,unused by Cameron and not a staple
